Discipline,Specialty,Year,AllRef,OutSpecRef,OutDiscRef,AllCit,OutSpecCit,OutDiscCit
Arts,Fine Arts & Architecture,1975,175,0.56,0.55,1393,0.31,0.3
Arts,Fine Arts & Architecture,1976,332,0.59,0.59,1931,0.45,0.42
Arts,Fine Arts & Architecture,1977,424,0.51,0.5,2018,0.45,0.43
Arts,Fine Arts & Architecture,1978,434,0.46,0.46,2163,0.46,0.44
Arts,Fine Arts & Architecture,1979,443,0.4,0.39,1791,0.37,0.36
Arts,Fine Arts & Architecture,1980,670,0.37,0.36,2661,0.55,0.51
Arts,Fine Arts & Architecture,1981,721,0.37,0.37,2158,0.5,0.48
Arts,Fine Arts & Architecture,1982,803,0.33,0.33,2458,0.53,0.52
Arts,Fine Arts & Architecture,1983,927,0.42,0.41,2638,0.58,0.56
Arts,Fine Arts & Architecture,1984,981,0.41,0.39,2205,0.51,0.48
Arts,Fine Arts & Architecture,1985,1005,0.38,0.38,2862,0.64,0.63
Arts,Fine Arts & Architecture,1986,1095,0.4,0.39,1986,0.53,0.51
Arts,Fine Arts & Architecture,1987,1066,0.4,0.38,2058,0.53,0.51
Arts,Fine Arts & Architecture,1988,1186,0.41,0.4,2098,0.57,0.54
Arts,Fine Arts & Architecture,1989,1168,0.36,0.35,2871,0.65,0.63
Arts,Fine Arts & Architecture,1990,1170,0.44,0.42,2188,0.61,0.59
Arts,Fine Arts & Architecture,1991,1457,0.45,0.44,2960,0.7,0.68
Arts,Fine Arts & Architecture,1992,1358,0.41,0.4,2364,0.64,0.62
Arts,Fine Arts & Architecture,1993,1713,0.55,0.54,2126,0.6,0.58
Arts,Fine Arts & Architecture,1994,1567,0.49,0.47,2243,0.67,0.65
Arts,Fine Arts & Architecture,1995,1491,0.5,0.49,1971,0.64,0.63
Arts,Fine Arts & Architecture,1996,1336,0.45,0.44,1860,0.66,0.64
Arts,Fine Arts & Architecture,1997,1390,0.48,0.47,1885,0.65,0.62
Arts,Fine Arts & Architecture,1998,1533,0.43,0.42,2148,0.67,0.65
Arts,Fine Arts & Architecture,1999,1475,0.44,0.43,1835,0.62,0.6
Arts,Fine Arts & Architecture,2000,1768,0.58,0.57,2953,0.75,0.73
Arts,Fine Arts & Architecture,2001,1614,0.52,0.51,1857,0.67,0.66
Arts,Fine Arts & Architecture,2002,1671,0.44,0.43,2193,0.72,0.71
Arts,Fine Arts & Architecture,2003,1931,0.51,0.5,2096,0.75,0.73
Arts,Fine Arts & Architecture,2004,1581,0.56,0.55,2391,0.79,0.75
Arts,Fine Arts & Architecture,2005,1890,0.58,0.57,1519,0.7,0.68
Arts,Fine Arts & Architecture,2006,2039,0.58,0.57,1663,0.73,0.72
Arts,Fine Arts & Architecture,2007,2387,0.65,0.64,1944,0.7,0.68
Arts,Fine Arts & Architecture,2008,3306,0.71,0.7,1786,0.72,0.71
Arts,Fine Arts & Architecture,2009,3919,0.73,0.72,1732,0.7,0.69
Arts,Fine Arts & Architecture,2010,4245,0.72,0.71,1405,0.65,0.64
Arts,Fine Arts & Architecture,2011,5312,0.73,0.72,1252,0.67,0.66
Arts,Fine Arts & Architecture,2012,5954,0.74,0.73,880,0.67,0.66
Arts,Fine Arts & Architecture,2013,6663,0.77,0.76,401,0.74,0.73
Arts,Fine Arts & Architecture,2014,7180,0.77,0.76,117,0.67,0.67
Arts,Performing Arts,1969,157,0.74,0.74,229,0.43,0.42
Arts,Performing Arts,1974,125,0.72,0.72,385,0.31,0.31
Arts,Performing Arts,1975,248,0.78,0.77,1410,0.22,0.21
Arts,Performing Arts,1976,563,0.62,0.61,1359,0.26,0.25
Arts,Performing Arts,1977,556,0.64,0.63,1559,0.27,0.27
Arts,Performing Arts,1978,606,0.64,0.63,1522,0.24,0.23
Arts,Performing Arts,1979,738,0.58,0.58,1481,0.23,0.22
Arts,Performing Arts,1980,858,0.5,0.48,1508,0.22,0.21
Arts,Performing Arts,1981,858,0.5,0.49,1679,0.22,0.21
Arts,Performing Arts,1982,957,0.56,0.54,1584,0.26,0.25
Arts,Performing Arts,1983,1053,0.43,0.43,2179,0.25,0.23
Arts,Performing Arts,1984,1147,0.4,0.39,2185,0.27,0.26
Arts,Performing Arts,1985,1770,0.47,0.46,1958,0.28,0.27
Arts,Performing Arts,1986,1748,0.4,0.4,2123,0.31,0.3
Arts,Performing Arts,1987,1457,0.4,0.38,2013,0.26,0.25
Arts,Performing Arts,1988,1161,0.38,0.36,2251,0.37,0.35
Arts,Performing Arts,1989,1723,0.34,0.32,1988,0.3,0.28
Arts,Performing Arts,1990,1428,0.42,0.41,1811,0.31,0.3
Arts,Performing Arts,1991,1470,0.33,0.31,1841,0.29,0.28
Arts,Performing Arts,1992,1538,0.42,0.4,1740,0.29,0.29
Arts,Performing Arts,1993,1718,0.4,0.38,1787,0.33,0.32
Arts,Performing Arts,1994,1941,0.45,0.43,1819,0.38,0.37
Arts,Performing Arts,1995,1683,0.39,0.36,1976,0.39,0.38
Arts,Performing Arts,1996,1993,0.41,0.4,1816,0.38,0.37
Arts,Performing Arts,1997,2111,0.41,0.38,2025,0.33,0.33
Arts,Performing Arts,1998,1922,0.41,0.38,1969,0.37,0.37
Arts,Performing Arts,1999,2076,0.5,0.48,1889,0.42,0.41
Arts,Performing Arts,2000,1992,0.42,0.41,1735,0.45,0.44
Arts,Performing Arts,2001,2432,0.5,0.48,1684,0.45,0.45
Arts,Performing Arts,2002,2063,0.47,0.45,1657,0.44,0.43
Arts,Performing Arts,2003,2153,0.51,0.5,1660,0.47,0.46
Arts,Performing Arts,2004,2592,0.51,0.49,1428,0.46,0.45
Arts,Performing Arts,2005,2432,0.49,0.46,1250,0.43,0.42
Arts,Performing Arts,2006,2634,0.48,0.46,1505,0.43,0.42
Arts,Performing Arts,2007,3087,0.54,0.53,1265,0.43,0.42
Arts,Performing Arts,2008,3070,0.46,0.45,1235,0.47,0.47
Arts,Performing Arts,2009,4639,0.65,0.64,1130,0.41,0.4
Arts,Performing Arts,2010,4279,0.57,0.55,1031,0.42,0.41
Arts,Performing Arts,2011,5135,0.6,0.58,774,0.44,0.43
Arts,Performing Arts,2012,5228,0.56,0.54,573,0.42,0.41
Arts,Performing Arts,2013,5457,0.56,0.54,230,0.4,0.4
Arts,Performing Arts,2014,5830,0.6,0.58,45,0.38,0.38
Biology,Agricult & Food Science,1950,3934,0.64,0.51,9725,0.5,0.31
Biology,Agricult & Food Science,1951,3288,0.61,0.51,9295,0.49,0.29
Biology,Agricult & Food Science,1952,3835,0.58,0.44,11811,0.48,0.29
Biology,Agricult & Food Science,1953,5929,0.65,0.53,12847,0.49,0.31
Biology,Agricult & Food Science,1954,6161,0.63,0.49,14090,0.52,0.3
Biology,Agricult & Food Science,1955,2314,0.63,0.53,5963,0.46,0.31
Biology,Agricult & Food Science,1956,2425,0.65,0.54,6068,0.53,0.38
Biology,Agricult & Food Science,1957,2454,0.63,0.56,6007,0.49,0.34
Biology,Agricult & Food Science,1958,2721,0.64,0.56,6360,0.49,0.36
Biology,Agricult & Food Science,1959,2984,0.64,0.56,6807,0.47,0.33
Biology,Agricult & Food Science,1960,3301,0.61,0.54,9133,0.47,0.3
Biology,Agricult & Food Science,1961,6213,0.69,0.57,16310,0.51,0.31
Biology,Agricult & Food Science,1962,6149,0.68,0.56,19404,0.51,0.28
Biology,Agricult & Food Science,1963,7049,0.65,0.54,19332,0.49,0.29
Biology,Agricult & Food Science,1964,7865,0.65,0.52,19295,0.48,0.28
Biology,Agricult & Food Science,1965,8942,0.67,0.53,21340,0.49,0.26
Biology,Agricult & Food Science,1966,12705,0.65,0.51,44267,0.46,0.26
Biology,Agricult & Food Science,1967,15082,0.66,0.49,47299,0.47,0.25
Biology,Agricult & Food Science,1968,18832,0.65,0.48,52857,0.46,0.26
Biology,Agricult & Food Science,1969,24693,0.65,0.47,64119,0.49,0.27
Biology,Agricult & Food Science,1970,23944,0.63,0.44,58470,0.48,0.26
Biology,Agricult & Food Science,1971,27772,0.61,0.44,77121,0.47,0.27
Biology,Agricult & Food Science,1972,31165,0.61,0.43,74671,0.48,0.29
Biology,Agricult & Food Science,1973,34361,0.61,0.44,77929,0.48,0.29
Biology,Agricult & Food Science,1974,35657,0.6,0.43,85531,0.49,0.29
Biology,Agricult & Food Science,1975,38115,0.58,0.42,85758,0.49,0.3
Biology,Agricult & Food Science,1976,42129,0.58,0.41,93710,0.48,0.3
Biology,Agricult & Food Science,1977,47743,0.58,0.42,113212,0.49,0.31
Biology,Agricult & Food Science,1978,48072,0.56,0.39,120618,0.48,0.28
Biology,Agricult & Food Science,1979,67365,0.58,0.4,116462,0.49,0.29
Biology,Agricult & Food Science,1980,65885,0.57,0.37,128912,0.5,0.31
Biology,Agricult & Food Science,1981,67241,0.56,0.38,121988,0.48,0.3
Biology,Agricult & Food Science,1982,70137,0.55,0.38,124145,0.48,0.29
Biology,Agricult & Food Science,1983,75652,0.54,0.37,136274,0.49,0.3
Biology,Agricult & Food Science,1984,82371,0.53,0.35,137505,0.47,0.29
Biology,Agricult & Food Science,1985,92024,0.54,0.35,139050,0.48,0.29
Biology,Agricult & Food Science,1986,78955,0.52,0.34,137697,0.48,0.28
Biology,Agricult & Food Science,1987,82854,0.53,0.35,144276,0.48,0.29
Biology,Agricult & Food Science,1988,85853,0.53,0.35,138773,0.48,0.29
Biology,Agricult & Food Science,1989,88755,0.52,0.33,145718,0.47,0.29
Biology,Agricult & Food Science,1990,94916,0.52,0.33,164047,0.46,0.29
Biology,Agricult & Food Science,1991,100880,0.53,0.34,168916,0.48,0.3
Biology,Agricult & Food Science,1992,106211,0.53,0.35,174390,0.47,0.3
Biology,Agricult & Food Science,1993,111224,0.53,0.34,176667,0.48,0.3
Biology,Agricult & Food Science,1994,117271,0.53,0.34,181919,0.47,0.3
Biology,Agricult & Food Science,1995,132822,0.54,0.35,198048,0.48,0.32
Biology,Agricult & Food Science,1996,158831,0.54,0.35,209844,0.48,0.32
Biology,Agricult & Food Science,1997,170428,0.54,0.35,221702,0.48,0.32
Biology,Agricult & Food Science,1998,171755,0.55,0.36,230321,0.49,0.33
Biology,Agricult & Food Science,1999,186845,0.56,0.37,248414,0.49,0.34
Biology,Agricult & Food Science,2000,197193,0.56,0.37,272408,0.5,0.35
Biology,Agricult & Food Science,2001,206345,0.56,0.37,262686,0.51,0.36
Biology,Agricult & Food Science,2002,228075,0.55,0.37,277113,0.5,0.36
Biology,Agricult & Food Science,2003,249787,0.56,0.37,274384,0.5,0.36
Biology,Agricult & Food Science,2004,264397,0.56,0.38,260964,0.5,0.36
Biology,Agricult & Food Science,2005,308486,0.58,0.4,276428,0.51,0.38
Biology,Agricult & Food Science,2006,356955,0.58,0.4,276915,0.51,0.38
Biology,Agricult & Food Science,2007,428479,0.58,0.41,284534,0.51,0.38
Biology,Agricult & Food Science,2008,481173,0.59,0.42,250739,0.51,0.39
Biology,Agricult & Food Science,2009,521444,0.59,0.41,220728,0.52,0.39
Biology,Agricult & Food Science,2010,580613,0.6,0.43,189935,0.52,0.4
Biology,Agricult & Food Science,2011,641681,0.6,0.42,147462,0.52,0.41
Biology,Agricult & Food Science,2012,681362,0.6,0.43,100183,0.52,0.41
Biology,Agricult & Food Science,2013,751737,0.61,0.43,53144,0.51,0.41
Biology,Agricult & Food Science,2014,784646,0.6,0.43,12766,0.48,0.4
Biology,Botany,1950,6524,0.53,0.4,15463,0.42,0.27
Biology,Botany,1951,7136,0.53,0.42,16918,0.43,0.27
Biology,Botany,1952,6981,0.51,0.41,18102,0.44,0.27
Biology,Botany,1953,9379,0.54,0.45,20093,0.41,0.26
Biology,Botany,1954,8864,0.51,0.4,21789,0.42,0.27
Biology,Botany,1955,7478,0.51,0.42,18729,0.44,0.31
Biology,Botany,1956,7705,0.54,0.46,17254,0.4,0.27
Biology,Botany,1957,8460,0.52,0.43,18064,0.37,0.25
Biology,Botany,1958,7587,0.53,0.44,17547,0.4,0.26
Biology,Botany,1959,9196,0.54,0.5,19778,0.44,0.29
Biology,Botany,1960,9872,0.54,0.47,22892,0.4,0.25
Biology,Botany,1961,11575,0.52,0.46,24652,0.39,0.26
Biology,Botany,1962,12331,0.55,0.48,64640,0.37,0.26
Biology,Botany,1963,12860,0.54,0.48,31644,0.4,0.25
Biology,Botany,1964,15934,0.54,0.48,38457,0.39,0.25
Biology,Botany,1965,19609,0.54,0.48,50448,0.39,0.24
Biology,Botany,1966,28410,0.56,0.5,69908,0.41,0.25
Biology,Botany,1967,32596,0.56,0.48,81068,0.4,0.24
Biology,Botany,1968,37215,0.54,0.47,87562,0.4,0.25
Biology,Botany,1969,42561,0.53,0.46,91855,0.39,0.24
Biology,Botany,1970,44336,0.53,0.46,96537,0.4,0.25
Biology,Botany,1971,51294,0.52,0.45,107400,0.4,0.25
Biology,Botany,1972,55200,0.52,0.44,109027,0.39,0.25
Biology,Botany,1973,58878,0.5,0.43,118742,0.4,0.24
Biology,Botany,1974,65188,0.49,0.42,112785,0.38,0.23
Biology,Botany,1975,68302,0.5,0.43,121067,0.39,0.24
Biology,Botany,1976,74775,0.49,0.41,133417,0.4,0.24
Biology,Botany,1977,77174,0.48,0.39,151236,0.39,0.22
Biology,Botany,1978,84713,0.47,0.38,152780,0.39,0.23
Biology,Botany,1979,91840,0.47,0.37,160177,0.4,0.23
Biology,Botany,1980,100385,0.46,0.36,185269,0.41,0.24
Biology,Botany,1981,106288,0.45,0.35,183158,0.41,0.25
Biology,Botany,1982,112378,0.45,0.34,193475,0.41,0.24
Biology,Botany,1983,120735,0.44,0.33,196028,0.41,0.24
Biology,Botany,1984,131309,0.44,0.33,209485,0.41,0.24
Biology,Botany,1985,142506,0.46,0.34,206076,0.42,0.25
Biology,Botany,1986,145399,0.46,0.34,216469,0.43,0.25
Biology,Botany,1987,153619,0.46,0.34,220967,0.44,0.25
Biology,Botany,1988,161946,0.47,0.36,227330,0.44,0.26
Biology,Botany,1989,162863,0.45,0.34,228777,0.44,0.27
Biology,Botany,1990,173544,0.46,0.35,249377,0.45,0.27
Biology,Botany,1991,176698,0.47,0.36,263164,0.46,0.28
Biology,Botany,1992,186932,0.47,0.35,276699,0.46,0.28
Biology,Botany,1993,201031,0.49,0.37,286326,0.47,0.29
Biology,Botany,1994,211014,0.48,0.37,288012,0.47,0.29
Biology,Botany,1995,234466,0.49,0.38,300869,0.48,0.3
Biology,Botany,1996,252642,0.49,0.36,302926,0.49,0.31
Biology,Botany,1997,266030,0.49,0.36,319421,0.49,0.31
Biology,Botany,1998,273951,0.5,0.37,333393,0.5,0.32
Biology,Botany,1999,272544,0.5,0.37,314513,0.49,0.31
Biology,Botany,2000,289031,0.5,0.37,334636,0.5,0.32
Biology,Botany,2001,309925,0.51,0.37,338536,0.51,0.32
Biology,Botany,2002,325902,0.52,0.38,353914,0.51,0.34
Biology,Botany,2003,365134,0.53,0.39,358491,0.52,0.34
Biology,Botany,2004,380403,0.54,0.4,347733,0.52,0.35
Biology,Botany,2005,404981,0.54,0.39,322534,0.52,0.35
Biology,Botany,2006,430207,0.54,0.39,302502,0.52,0.35
Biology,Botany,2007,461879,0.55,0.4,281226,0.51,0.35
Biology,Botany,2008,523552,0.56,0.41,267679,0.53,0.37
Biology,Botany,2009,563403,0.56,0.4,237358,0.52,0.36
Biology,Botany,2010,601839,0.57,0.4,200803,0.52,0.37
Biology,Botany,2011,671080,0.57,0.4,158647,0.51,0.37
Biology,Botany,2012,733291,0.58,0.41,109801,0.51,0.38
Biology,Botany,2013,797577,0.58,0.41,54344,0.48,0.35
Biology,Botany,2014,834979,0.58,0.42,11599,0.44,0.34
Biology,Dairy & Animal Science,1950,1831,0.65,0.58,5148,0.43,0.31
Biology,Dairy & Animal Science,1951,2525,0.61,0.54,6106,0.42,0.33
Biology,Dairy & Animal Science,1952,2398,0.56,0.49,6280,0.45,0.35
Biology,Dairy & Animal Science,1953,2989,0.55,0.5,7043,0.48,0.38
Biology,Dairy & Animal Science,1954,3785,0.59,0.52,6968,0.44,0.33
Biology,Dairy & Animal Science,1955,3542,0.55,0.48,8871,0.42,0.31
Biology,Dairy & Animal Science,1956,3847,0.56,0.5,9818,0.46,0.36
Biology,Dairy & Animal Science,1957,3940,0.54,0.48,8525,0.43,0.31
Biology,Dairy & Animal Science,1958,5251,0.56,0.49,9213,0.45,0.32
Biology,Dairy & Animal Science,1959,4706,0.52,0.44,11057,0.44,0.3
Biology,Dairy & Animal Science,1960,4624,0.53,0.47,10899,0.42,0.28
Biology,Dairy & Animal Science,1961,5660,0.52,0.46,13358,0.43,0.3
Biology,Dairy & Animal Science,1962,5750,0.5,0.43,13199,0.42,0.27
Biology,Dairy & Animal Science,1963,5794,0.51,0.45,12743,0.47,0.32
Biology,Dairy & Animal Science,1964,5738,0.53,0.46,13022,0.45,0.28
Biology,Dairy & Animal Science,1965,7083,0.54,0.47,15951,0.45,0.31
Biology,Dairy & Animal Science,1966,6745,0.53,0.45,14871,0.46,0.29
Biology,Dairy & Animal Science,1967,8480,0.54,0.46,15459,0.46,0.3
Biology,Dairy & Animal Science,1968,10008,0.53,0.44,20274,0.45,0.29
Biology,Dairy & Animal Science,1969,11416,0.58,0.48,20101,0.46,0.29
Biology,Dairy & Animal Science,1970,12212,0.56,0.47,20420,0.47,0.31
Biology,Dairy & Animal Science,1971,14532,0.57,0.47,25452,0.46,0.3
Biology,Dairy & Animal Science,1972,15119,0.57,0.48,25986,0.48,0.33
Biology,Dairy & Animal Science,1973,14637,0.55,0.45,25939,0.48,0.33
Biology,Dairy & Animal Science,1974,14403,0.56,0.45,26100,0.5,0.32
Biology,Dairy & Animal Science,1975,16325,0.55,0.44,29100,0.5,0.33
Biology,Dairy & Animal Science,1976,17360,0.54,0.44,33018,0.48,0.31
Biology,Dairy & Animal Science,1977,16255,0.53,0.43,30082,0.46,0.31
Biology,Dairy & Animal Science,1978,16293,0.53,0.43,33756,0.46,0.3
Biology,Dairy & Animal Science,1979,24421,0.58,0.47,37885,0.47,0.32
Biology,Dairy & Animal Science,1980,23628,0.54,0.43,37706,0.46,0.32
Biology,Dairy & Animal Science,1981,25915,0.53,0.43,37554,0.46,0.32
Biology,Dairy & Animal Science,1982,26708,0.53,0.42,38836,0.46,0.31
Biology,Dairy & Animal Science,1983,29613,0.52,0.42,41907,0.45,0.32
Biology,Dairy & Animal Science,1984,32339,0.53,0.43,46423,0.49,0.34
Biology,Dairy & Animal Science,1985,33427,0.53,0.42,39971,0.46,0.33
Biology,Dairy & Animal Science,1986,33806,0.53,0.43,45864,0.46,0.33
Biology,Dairy & Animal Science,1987,32749,0.53,0.44,41407,0.48,0.35
Biology,Dairy & Animal Science,1988,34582,0.52,0.42,43588,0.48,0.34
Biology,Dairy & Animal Science,1989,37036,0.54,0.44,46278,0.48,0.34
Biology,Dairy & Animal Science,1990,39655,0.53,0.42,50946,0.49,0.35
Biology,Dairy & Animal Science,1991,43460,0.52,0.42,63102,0.49,0.34
Biology,Dairy & Animal Science,1992,42388,0.53,0.42,58187,0.51,0.36
Biology,Dairy & Animal Science,1993,45223,0.55,0.45,59697,0.53,0.37
Biology,Dairy & Animal Science,1994,43178,0.53,0.43,54123,0.51,0.37
Biology,Dairy & Animal Science,1995,45430,0.55,0.44,59660,0.54,0.38
Biology,Dairy & Animal Science,1996,52984,0.58,0.46,58697,0.55,0.37
Biology,Dairy & Animal Science,1997,54567,0.55,0.43,67129,0.54,0.38
Biology,Dairy & Animal Science,1998,60763,0.57,0.45,68584,0.57,0.4
Biology,Dairy & Animal Science,1999,55654,0.55,0.43,62703,0.55,0.38
Biology,Dairy & Animal Science,2000,61594,0.57,0.46,70542,0.57,0.4
Biology,Dairy & Animal Science,2001,57251,0.56,0.44,59572,0.56,0.39
Biology,Dairy & Animal Science,2002,62517,0.54,0.43,61079,0.57,0.39
Biology,Dairy & Animal Science,2003,68701,0.56,0.44,64151,0.56,0.39
Biology,Dairy & Animal Science,2004,73012,0.55,0.44,62661,0.57,0.4
Biology,Dairy & Animal Science,2005,77025,0.58,0.46,56631,0.59,0.41
Biology,Dairy & Animal Science,2006,88425,0.58,0.47,59051,0.59,0.42
Biology,Dairy & Animal Science,2007,96249,0.59,0.47,55293,0.6,0.42
Biology,Dairy & Animal Science,2008,95138,0.58,0.46,41850,0.58,0.41
Biology,Dairy & Animal Science,2009,102820,0.59,0.47,39168,0.56,0.4
Biology,Dairy & Animal Science,2010,108788,0.6,0.48,29354,0.56,0.41
Biology,Dairy & Animal Science,2011,116804,0.61,0.47,23207,0.56,0.4
Biology,Dairy & Animal Science,2012,134145,0.62,0.5,15162,0.55,0.4
Biology,Dairy & Animal Science,2013,140124,0.61,0.48,7476,0.53,0.39
Biology,Dairy & Animal Science,2014,141256,0.62,0.49,1440,0.52,0.36
Biology,Ecology,1950,1065,0.64,0.38,6552,0.73,0.23
Biology,Ecology,1951,1370,0.62,0.37,6875,0.73,0.25
Biology,Ecology,1952,1402,0.65,0.36,6433,0.72,0.28
Biology,Ecology,1953,1413,0.55,0.31,6704,0.7,0.29
Biology,Ecology,1954,1541,0.6,0.36,9413,0.73,0.31
Biology,Ecology,1955,1203,0.6,0.36,8477,0.68,0.28
Biology,Ecology,1956,1417,0.56,0.32,8554,0.65,0.27
Biology,Ecology,1957,1446,0.58,0.32,8143,0.74,0.29
Biology,Ecology,1958,1403,0.59,0.33,6131,0.71,0.28
Biology,Ecology,1959,1451,0.64,0.42,9844,0.66,0.24
Biology,Ecology,1960,1714,0.6,0.39,11033,0.66,0.24
Biology,Ecology,1961,1939,0.58,0.41,16446,0.66,0.26
Biology,Ecology,1962,1706,0.55,0.35,11722,0.64,0.23
Biology,Ecology,1963,1778,0.58,0.32,12672,0.67,0.23
Biology,Ecology,1964,2119,0.6,0.37,14162,0.73,0.28
Biology,Ecology,1965,2123,0.52,0.28,13855,0.66,0.2
Biology,Ecology,1966,3226,0.58,0.34,29929,0.67,0.23
Biology,Ecology,1967,4024,0.62,0.35,23968,0.65,0.21
Biology,Ecology,1968,4434,0.55,0.3,29205,0.66,0.22
Biology,Ecology,1969,5214,0.61,0.33,27890,0.67,0.23
Biology,Ecology,1970,5624,0.6,0.3,31597,0.62,0.2
Biology,Ecology,1971,5859,0.58,0.27,32128,0.67,0.23
Biology,Ecology,1972,7128,0.6,0.27,42909,0.7,0.24
Biology,Ecology,1973,7595,0.6,0.27,36518,0.65,0.21
Biology,Ecology,1974,9157,0.6,0.28,50224,0.65,0.21
Biology,Ecology,1975,10874,0.58,0.26,51278,0.66,0.22
Biology,Ecology,1976,12510,0.6,0.3,51480,0.66,0.22
Biology,Ecology,1977,13818,0.59,0.27,68426,0.65,0.2
Biology,Ecology,1978,15800,0.59,0.27,69127,0.66,0.22
Biology,Ecology,1979,19342,0.59,0.28,73729,0.64,0.22
Biology,Ecology,1980,24389,0.59,0.27,86367,0.64,0.2
Biology,Ecology,1981,27512,0.58,0.27,88708,0.63,0.2
Biology,Ecology,1982,30257,0.57,0.25,90651,0.65,0.2
Biology,Ecology,1983,33562,0.57,0.26,94235,0.62,0.19
Biology,Ecology,1984,36944,0.58,0.25,109442,0.64,0.2
Biology,Ecology,1985,38258,0.56,0.23,107346,0.63,0.21
Biology,Ecology,1986,36856,0.57,0.25,101716,0.65,0.23
Biology,Ecology,1987,43420,0.56,0.24,118743,0.63,0.22
Biology,Ecology,1988,43716,0.56,0.23,114672,0.62,0.22
Biology,Ecology,1989,45583,0.55,0.23,124102,0.63,0.22
Biology,Ecology,1990,44474,0.57,0.22,116981,0.64,0.23
Biology,Ecology,1991,52340,0.58,0.25,121615,0.64,0.24
Biology,Ecology,1992,54178,0.58,0.24,143711,0.63,0.25
Biology,Ecology,1993,57976,0.58,0.24,145856,0.65,0.24
Biology,Ecology,1994,61900,0.56,0.25,142714,0.63,0.25
Biology,Ecology,1995,69361,0.58,0.25,145419,0.64,0.26
Biology,Ecology,1996,85292,0.57,0.25,170413,0.63,0.25
Biology,Ecology,1997,90440,0.57,0.24,168572,0.64,0.25
Biology,Ecology,1998,101300,0.57,0.25,181594,0.65,0.27
Biology,Ecology,1999,108109,0.57,0.26,186698,0.63,0.26
Biology,Ecology,2000,117736,0.56,0.25,205922,0.64,0.27
Biology,Ecology,2001,126714,0.57,0.25,194599,0.65,0.27
Biology,Ecology,2002,140707,0.57,0.27,202289,0.64,0.27
Biology,Ecology,2003,156240,0.57,0.26,199254,0.64,0.28
Biology,Ecology,2004,170506,0.57,0.27,205954,0.64,0.28
Biology,Ecology,2005,187794,0.57,0.28,198073,0.64,0.29
Biology,Ecology,2006,218943,0.57,0.29,198549,0.65,0.3
Biology,Ecology,2007,223398,0.58,0.3,168538,0.67,0.33
Biology,Ecology,2008,255122,0.59,0.31,158829,0.67,0.34
Biology,Ecology,2009,270282,0.61,0.32,138447,0.67,0.35
Biology,Ecology,2010,301692,0.61,0.33,119428,0.68,0.37
Biology,Ecology,2011,321308,0.62,0.34,86969,0.68,0.37
Biology,Ecology,2012,340124,0.62,0.35,56492,0.68,0.4
Biology,Ecology,2013,373454,0.64,0.36,28335,0.68,0.4
Biology,Ecology,2014,371315,0.63,0.37,5880,0.65,0.38
Biology,Entomology,1950,576,0.39,0.22,2245,0.39,0.19
Biology,Entomology,1951,945,0.44,0.27,3274,0.46,0.21
Biology,Entomology,1952,838,0.38,0.24,2545,0.39,0.17
Biology,Entomology,1953,997,0.43,0.3,3205,0.41,0.23
Biology,Entomology,1954,1013,0.39,0.25,3117,0.39,0.18
Biology,Entomology,1955,677,0.33,0.19,3172,0.4,0.21
Biology,Entomology,1956,1787,0.48,0.31,3254,0.4,0.19
Biology,Entomology,1957,1783,0.56,0.33,4727,0.44,0.23
Biology,Entomology,1958,2234,0.5,0.32,5023,0.49,0.26
Biology,Entomology,1959,2315,0.56,0.37,5754,0.46,0.23
Biology,Entomology,1960,2544,0.57,0.38,6762,0.46,0.22
Biology,Entomology,1961,2917,0.58,0.4,7331,0.48,0.24
Biology,Entomology,1962,2637,0.6,0.39,6997,0.45,0.23
Biology,Entomology,1963,2671,0.58,0.37,7293,0.46,0.24
Biology,Entomology,1964,2792,0.54,0.35,9218,0.46,0.23
Biology,Entomology,1965,3050,0.52,0.34,11646,0.41,0.19
Biology,Entomology,1966,6921,0.6,0.38,22361,0.44,0.22
Biology,Entomology,1967,7790,0.59,0.4,22154,0.43,0.22
Biology,Entomology,1968,9054,0.56,0.38,25621,0.43,0.23
Biology,Entomology,1969,10277,0.54,0.34,26765,0.46,0.25
Biology,Entomology,1970,10998,0.52,0.35,27982,0.44,0.24
Biology,Entomology,1971,12280,0.53,0.36,27105,0.44,0.23
Biology,Entomology,1972,13888,0.52,0.35,27162,0.44,0.23
Biology,Entomology,1973,12908,0.52,0.36,25199,0.47,0.27
Biology,Entomology,1974,13773,0.54,0.38,27991,0.44,0.24
Biology,Entomology,1975,13931,0.51,0.36,29094,0.45,0.24
Biology,Entomology,1976,16132,0.53,0.36,33725,0.45,0.24
Biology,Entomology,1977,15886,0.51,0.34,36013,0.46,0.25
Biology,Entomology,1978,14339,0.5,0.31,36144,0.46,0.22
Biology,Entomology,1979,21761,0.52,0.33,41501,0.47,0.25
Biology,Entomology,1980,20647,0.53,0.34,39056,0.47,0.24
Biology,Entomology,1981,20457,0.51,0.33,38733,0.44,0.22
Biology,Entomology,1982,24763,0.51,0.31,42682,0.45,0.22
Biology,Entomology,1983,26979,0.5,0.3,46566,0.44,0.19
Biology,Entomology,1984,27801,0.51,0.3,46415,0.45,0.21
Biology,Entomology,1985,32390,0.51,0.31,47657,0.45,0.22
Biology,Entomology,1986,34117,0.53,0.34,50100,0.45,0.23
Biology,Entomology,1987,31209,0.51,0.32,49786,0.47,0.25
Biology,Entomology,1988,32497,0.51,0.31,48271,0.46,0.22
